# wl, TX, emissivity
5.93,0.90,0.03
5.93,0.90,0.03
5.94,0.90,0.03
5.94,0.90,0.03
5.95,0.90,0.03
5.95,0.90,0.03
5.96,0.90,0.03
5.96,0.90,0.03
5.97,0.90,0.03
5.97,0.90,0.03
5.98,0.90,0.03
5.98,0.90,0.03
5.99,0.90,0.03
5.99,0.90,0.03
6.00,0.90,0.03
6.00,0.90,0.03
6.01,0.90,0.03
6.01,0.90,0.03
6.02,0.90,0.03
6.02,0.90,0.03
6.03,0.90,0.03
6.03,0.90,0.03
6.04,0.90,0.03
6.04,0.90,0.03
6.05,0.90,0.03
6.05,0.90,0.03
6.06,0.90,0.03
6.06,0.90,0.03
6.07,0.90,0.03
6.07,0.90,0.03
6.08,0.90,0.03
6.08,0.90,0.03
6.09,0.90,0.03
6.09,0.90,0.03
6.10,0.90,0.03
6.10,0.90,0.03
6.11,0.90,0.03
6.11,0.90,0.03
6.12,0.90,0.03
6.12,0.90,0.03
6.13,0.90,0.03
6.13,0.90,0.03
6.14,0.90,0.03
6.14,0.90,0.03
6.15,0.90,0.03
6.15,0.90,0.03
6.16,0.90,0.03
6.16,0.90,0.03
6.17,0.90,0.03
6.17,0.90,0.03
6.18,0.90,0.03
6.18,0.90,0.03
6.19,0.90,0.03
6.19,0.90,0.03
